"apiculture","beekeeping","noun"
"aplanatic","a lens free of spherical aberration","adjective"
"apodictic","necessarily true beyond contradiction","adjective"
"apophasis","saying something by stating that you will not mention it","noun"
"apophthegm","brief saying; proverb; epigram","noun"
"aposiopesis","suddenly stopping in the middle of a speech for emphasis","noun"
"apostasy","renunciation of former beliefs","noun"
"apostrophe","addressing of a personified thing rhetorically","noun"
"apothegm","a short, instructive saying or formula","noun"
"apotropaic","designed to turn away evil","adjective"
"apperception","mind's perception of itself as a conscious agent","noun"
"appetence","strong craving or powerful desire","noun"
"appose","to place in juxtaposition or proximity","verb"
"approbation","approval; consent","noun"
"appulse","a striking against something","noun"
"apterygial","wingless; finless","adjective"
"aquamanile","ewer in the form of a human or animal figure for ceremonial handwashing","noun"
"aquarelle","watercolour painting","noun"
"aquiline","of, like or pertaining to eagles; hooked like an eagle's beak","adjective"
"arachnology","study of spiders","noun"
"arborescent","branched; branching; tree-shaped","adjective"
"archimandrite","head of a monastery or convent","noun"
"architectonics","of, like or pertaining to the arrangement of knowledge","noun"
"architrave","parts surrounding a door or window, especially the top","noun"
"arciform","shaped like a bow","adjective"
"arctophile","collector of teddy bears","noun"
"arcuate","arched; bow-shaped","adjective"
"arenaceous","like, growing in or consisting of sand","adjective"
"areology","study of Mars","noun"
"argali","large-horned Asian wild sheep","noun"
"argent","the heraldic colour silver or white","noun"
"argillaceous","clayey; of or resembling clay","adjective"
"argol","dried cow dung used as fuel","noun"
"aright","right; correctly","adverb"
"aristarch","a severe critic","noun"
"armamentarium","collective equipment available to a doctor","noun"
"armigerous","entitled to bear arms","adjective"
"armipotent","having strong weapons; militarily potent","adjective"
"armlet","piece of armour for the arm","noun"
"armure","twilled woollen or silk fabric","noun"
"arras","tapestry covering a wall","noun"
"arrogate","to claim unduly as one's own; to ascribe","verb"
"arthroscope","instrument for examining interior of a joint","noun"
"arundinaceous","like or having the properties of a reed","adjective"
"ascesis","the practice of disciplining oneself; asceticism","noun"
"aseity","self-origination","noun"
"ashplant","walking stick","noun"
"asomatous","lacking a body; incorporeal","adjective"
"aspergillum","vessel for sprinkling holy water","noun"
"asperse","slander; disparage","verb"
"asseveration","positive or earnest affirmation","noun"
"assiduity","persevering application to a pursuit","noun"
"associative","indicating association with or accompaniment by","adjective"
"astern","at the stern of a ship","adverb"
"asthenopia","muscular weakening of the eyes","noun"
"astragal","small semicircular moulding; dice","noun"
"astraphobia","fear of being struck by lightning","noun"
"astriction","binding obligation","n."
"astrionics","electronics as applied to space flight","noun"
"astromancy","divination using stars","noun"
"asyndeton","rhetorical device of omitting conjunctions","noun"
"ataraxia","tranquility; freedom from anxiety; stoicism","noun"
"ateliosis","imperfect development; developmental irregularity","noun"
"athanor","alchemist's self-feeding digesting furnace","noun"
"athenaeum","literary or scientific association","noun"
"athwart","across; in opposition to; sideways; transversely","adverb"
"atlas","rich satin fabric","noun"
"atomism","belief that the universe consists of small indivisible particles","noun"
"atrabilious","melancholy; splenetic; acrimonious","adjective"
"atresia","absence or irregular closure of a passage in the body","noun"
"attaint","disgrace; sully; infect; taint","verb"
"attenuate","make thin; reduce in value","verb"
"attingent","touching","adjective"
"attorn","to transfer to another","verb"
"aubergine","eggplant","noun"
"audile","person more attuned to sound than the other senses","noun"
"audiometer","instrument for measuring acuity of hearing","noun"
"audism","belief that people who can hear are superior to people who are deaf","noun"
"augend","number to which another number is added","noun"
"aulic","courtly; ceremonious; genteel","adjective"
"aureole","radiant light around head or body of holy personage","noun"
"auricular","of, like or pertaining to the ear; spoken secretly","adjective"
"auriscope","instrument for examining the ear","noun"
"auslaut","final sound of a word or syllable","noun"
"autocide","killing of oneself or another by means of a motor vehicle","noun"
"autocracy","government by one individual","noun"
"autodidact","self-taught person","noun"
"automorphism","ascription to others of one's own characteristics","noun"
"autonym","a writer's real name; work published under writer's own name","noun"
"autoschediasm","anything extemporized","noun"
"autotelic","being an end in itself","adjective"
"auxanometer","instrument for measuring growth of plants","noun"
"avaunt","away; hence; to boast","adverb"
"aventail","movable front of a helmet","noun"
"avocet","long-legged wading bird with upward-curving bill","noun"
"avulse","to pluck or tear away by force","verb"
"awn","beard or similar bristly growth on stalk of grain","noun"
"axiology","the science of the ultimate nature of values","noun"
"aye-aye","nocturnal lemur-like animal of Madagascar","noun"
"azoth","alchemical name for mercury","noun"
"azure","light or sky blue; the heraldic colour blue","adjective"
"baboonery","foolishness; stupidity; nonsense","noun"
"bacchanal","drunkard; reveller","noun"
"bacciform","shaped like a berry","adjective"
"backstay","stay extending from ship's mastheads to the side of the ship","noun"
"baculiform","rod-shaped","adjective"
"baculum","penis bone in some mammals","noun"
"badigeon","plaster and ground stone mixture for repairing masonry","noun"
"baetyl","magical or holy meteoric stone","noun"
"bagnio","bathing house","noun"
"bahuvrihi","compound word whose second part is a noun but that acts as an adjective","noun"
"baldric","shoulder strap for holding sword","noun"
"balistraria","cross-shaped opening in wall for firing arrows","noun"
"ballistocardiograph","instrument for detecting body movements caused by heartbeat","noun"
"ballottement","diagnosis of pregnancy by applying sharp force to abdomen","noun"
"balustrade","row of columns supporting a stair rail","noun"
"bandelet","small flat moulding around a column","noun"
"bandicoot","small long-nosed ratlike marsupial","noun"
"bandolier","shoulder belt for carrying ammunition","noun"
"bangtail","mustang or wild horse","noun"
"banquette","raised way or footway above a parapet","noun"
"bantling","brat; whelp; bastard child","noun"
"bar","unit of pressure of one million dynes per square centimeter","noun"
"barathea","pebbly silk or worsted fabric with broken rib weave","noun"
"barbet","stout-billed tropical bird","noun"
"barbican","projecting watchtower over the gate of a castle","noun"
"barcarole","gondolier's song","noun"
"barege","gauzy fabric of silk, cotton, wool, or worsted","noun"
"barkentine","three-masted vessel","noun"
"barm","yeast; froth on fermenting liquor","noun"
"barn","unit of area measurement of particles equal to 100 square femtometres","noun"
"barograph","instrument for recording air pressure","noun"
"baroscope","weather-glass","noun"
"barratry","inciting riot or violence","noun"
"basilica","Roman Catholic church given special privileges","noun"
"bassinet","light, conical helmet","noun"
"bastion","tower at the corner of a fortification","noun"
"bateleur","short-tailed African eagle","noun"
"batholith","large mass of intruded igneous rock","noun"
"bathos","appearance of the commonplace in elevated matter for rhetorical effect","noun"
"bathypelagic","found in the depths of the sea","adjective"
"bathythermograph","instrument for recording water temperature as compared to depth","noun"
"bating","except","preposition"
"batophobia","fear of heights or being close to tall buildings","n."
"battledore","bat used to strike shuttlecock; game played with such a bat","noun"
"battue","indiscriminate slaughter; driving game towards slaughter","noun"
"bausond","having white spots on the forehead","adjective"
"bayadere","fabric with horizontal stripes in strongly contrasting colours","noun"
"beadle","church caretaker or usher; mace-bearing official of an institution","noun"
"becket","large hook or bracket used to hold tackle or spars","noun"
"bee","hardwood on either side of bowsprit through which forestays are reeved ","noun"
"beestings","the first milk drawn from a cow after calving","noun"
"belay","to secure a rope by winding on a pin or cleat","verb"
"beldam","an old woman; a hag; an ancestress","noun"
"belike","most likely; probably","adverb"
"belling","deer's mating call","noun"
"belonoid","shaped like a needle","adjective"
"belvedere","raised turret or lantern on the top of a house","noun"
"benedict","a newly married man who has long been a bachelor","noun"
"benefic","kindly; benign; beneficent","adjective"
"beneficiate","to treat ores to remove impurities","verb"
"bengaline","crosswise ribbed fabric","noun"
"benthic","of, like or pertaining to the depths of the ocean","adjective"
"berlin","four-wheeled covered carriage","noun"
"berm","narrow shelf or ledge at the top or bottom of a slope","noun"
"besom","curler's broom","noun"
"betimes","in short time; speedily","adverb"
"betwixt","between","preposition, adverb"
"bezel","oblique side or face of a cut gem","noun"
"bezique","card game played with two decks of cards","noun"
"bharal","bluish-gray Himalayan goat","noun"
"bibelot","trinket; miniature book of elegant design","noun"
"bibliolatry","worship of the Bible or other books","noun"
"bibliomancy","divination by opening a book at random","noun"
"bibliotics","study of documents to determine authenticity","noun"
"bicollateral","having two identical sides","adjective"
"bifarious","organized in two rows","adjective"
"bifilar","having two threads","adjective"
"biggin","a building","noun"
"bijugate","having heads on both sides of a coin","adjective"
"bilge","lower point of inner hull of a ship; nonsense or rubbish","noun"
"billingsgate","coarsely abusive language","noun"
"bilocation","ability to be in two places at once","noun"
"bimetallism","currency exchange on both the gold and silver standards","noun"
"binate","doubled; coupled","adjective"
"bindle","blanket roll","noun"
"biobibliography","annotated biographical bibliography","noun"
"biocentric","having life as main principle","adjective"
"bioecology","study of interaction of life in the environment","noun"
"biometrics","study of biological measurement","noun"
"bionomics","study of organisms interacting in their environments","noun"
"bipennate","two-winged","adjective"
"bireme","rowed ship or galley with two banks of oars","noun"
"birl","to make a log spin by walking on it","verb"
"bis","twice; in two places","adverb"
"biserial","in two rows or columns","adjective"
"bistoury","narrow surgical knife","noun"
"bisulcate","cloven-footed; cleft in two","adjective"
"bittern","small heron","noun"
"blackguard","to vituperate; to portray as a scoundrel","noun"
"blague","pretentious nonsense","noun"
"blanket","coarse woollen cloth","noun"
"blastogenesis","reproduction by budding","noun"
"blazon","heraldic arms painted on knight's shield or surcoat; to describe heraldically","verb"
"blennoid","of or resembling mucus","adjective"
"blenny","small elongated marine fish","noun"
"blesbok","South African antelope with white patch on forehead","noun"
"bloviate","to write or speak windily","verb"
"blunge","to mix clay with water","verb"
"bobbinet","machine-made cotton lace","noun"
"bobstay","rope used on ships to steady the bowsprit","noun"
"bodkin","small tool for pricking holes; small dagger","noun"
"boggart","spectre; bugbear; goblin","noun"
"bolection","moulding around a panel","noun"
"bolide","large meteor that bursts; a fireball","noun"
"bolometer","instrument for measuring radiant energy or infrared light","noun"
"boltrope","strong rope stitched to edges of a sail","noun"
"bombardon","large keyless bass trumpet","noun"
"bombous","convex; rounded","adjective"
"bonbonnière","small box used for sweetmeats","noun"
"bongo","reddish African antelope with white vertical stripes","noun"
"bonism","the doctrine that the world is good but not perfect","noun"
"boodle","counterfeit money; funds obtained by corruption","noun"
"borage","rough-stemmed herb used in salads","noun"
"borborygmus","rumbling noise in the intestines","noun"
"bordereau","detailed bill or invoice","noun"
"bore","tidal flow of water up estuaries","verb"
"borzoi","wolf-hound","noun"
"bosky","covered with trees or shrubs","adjective"
"bosselated","knobby","adjective"
"bosun","boatswain","noun"
"botryoidal","like a bunch of grapes","adjective"
"bottomry","using the ship as collateral to finance a sea voyage","noun"
"bouleversement","overturning; reversal; ruin","noun"
"boun","to prepare; to dress; to set out","verb"
"bourdon","drone bass of a bagpipe or organ","noun"
"bourrée","French baroque dance with quick rhythm","noun"
"boustrophedon","writing alternating left-right then right-left","noun"
"bower","anchor carried at bow of a ship","noun"
"bowline","rope used to keep weather edge of a sail taut","noun"
"brabble","to squabble or quarrel","verb"
"brach","female hunting hound","noun"
"brackish","saltish; very salty","adjective"
"bracteate","thin beaten plate of gold or silver","adjective"
"brail","leather strap to bind a hawk's wing","noun"
"braird","to appear above ground (of crops)","noun"
"brandling","striped earthworm used as fishing bait","noun"
"brash","collection of broken pieces of rock or ice","adjective"
"brassard","badge worn on the arm; piece of armour for the arm","noun"
"brattice","partition in mine shaft used to support walls and roof","noun"
"bray","heraldic device of a barnacle or horse's bit","noun"
"bream","to clean a ship's bottom by burning off seaweed","noun"
"breccia","geological formation of angular fragments of rock","noun"
"brevet","commission enabling officer to take higher rank","noun"
"brevipennate","having short wings","adjective"
"bricole","harness for humans to pull heavy loads","noun"
"brigandine","leather armour with metal scales","noun"
"brilliantine","perfumed oil for making hair glossy","noun"
"brindled","marked with streaks or spots","adjective"
"briquet","heraldic device of a flint and steel","noun, verb,"
"brogan","strong and tough working shoe","noun"
"bronchoscope","instrument for examining the windpipe","noun"
"bruit","something rumoured widely; to report or spread rumour","verb"
"bruxism","habitual grinding of the teeth","noun"
"bryology","the study of mosses and liverworts","noun"
"bubonalgia","painful inflammation of the groin","n."
"bucentaur","legendary half-man and half-ox","noun"
"buckminsterfullerene","stable carbon molecule with structure like a geodesic dome","noun"
"buddle","sloping container for washing ore","noun"
"bugaboo","loud or empty nonsense","noun"
"bulbiferous","bearing bulbs","adjective"
"bulgur","cooked broken wheat","noun"
"bulla","round seal attached to a papal bull","noun"
"bullate","having a blistered or puckered appearance","adjective"
"bullock","an ox or castrated bull","noun"
"bumboat","small boat used in harbours to carry provisions","noun"
"bumpkin","spar projecting from stern of ship","noun"
"buncombe","speech-making intended for the mass media; humbug","noun"
"bunting","light loosely woven fabric used for flags","noun"
"burke","to suppress quietly; to bypass or avoid","verb"
"burnet","dark brown; dark woollen cloth","noun"
"burse","square cloth case to carry the corporal during Communion service","noun"
"bursiform","shaped like a pouch or purse","adjective"
"buskin","tragedy as a dramatic genre","noun"
"buttery","storeroom for provisions and liquors","adjective"
"butyric","of, like or pertaining to butter","adjective"
"byrnie","coat of mail or breastplate","noun"
"cable","heavy rope or chain for mooring a ship","noun"
"cabochon","highly polished convex gem","noun"
"cabotage","shipping and sailing between points in the same country","noun"
"cabriole","curved furniture leg ending in a ball; exuberant dance or caper","noun"
"cachalot","sperm whale","noun"
"cachepot","ornamental container used to conceal a flowerpot","noun"
"cacoepy","poor or wrong pronunciation","noun"
"cacography","bad handwriting or spelling","noun"
"cacology","bad choice of words or faulty pronunciation","noun"
"caconym","wrongly derived name","noun"
"cacuminal","retroflex, pertaining to a point, crown, top or peak","adjective"
"caddis","worsted yarn","noun"
"caducity","being of a transitory or impermanent nature","noun"
"caenogenesis","process of growth in individual not common in its species","noun"
"caesious","bluish or greyish green","adjective"
"caesura","natural breathing space in a line of verse","noun"
"cafard","depression; the blues","noun"
"caiman","small alligator-like reptile","noun"
"caisson","vehicle or chest for holding ammunition","noun"
"cakewalk","prancing stage dance with backward tilt","noun"
"calando","slowing with gradually lowering volume","adjective"
"calash","light low-wheeled carriage with folding top","noun"
"calathus","fruit basket carried on the head","noun"
"calcariferous","having or bearing spurs","adjective"
"calciferous","bearing lime","adjective"
"calcifuge","plant that will not tolerate limy soil","noun"
"calcine","to burn so as to drive out water and carbon dioxide","verb"
"calefactory","a monastery sitting room","adjective"
"calenture","tropical fever due to heat exposure","noun"
"calix","cup; chalice","noun"
"callant","boy; fellow","noun"
"callithump","boisterous and noisy parade","noun"
"calotte","Roman Catholic skullcap","noun"
"calumet","ornamented ceremonial pipe","noun"
"calumny","vile misrepresentation","noun"
"calvous","bald","adjective"
"calyx","outer covering of a flower","noun"
"caman","shinty stick","noun"
"camber","slight arch or convexity to a beam or deck of a ship","verb"
"camelopard","giraffe","noun"
"camerlengo","papal treasurer","noun"
"camisole","straitjacket used for unruly prisoners","noun"
"campanile","freestanding bell tower on church property","noun"
"campanulate","shaped like a bell","adjective"
"canary","lively Renaissance courtly dance","noun"
"cancellous","having a porous structure","adjective"
"cancriform","shaped like a crab","adjective"
"cancrizans","moving backwards; repeating a musical theme backwards","adjective"
"candent","heated to whiteness","adjective"
